vid,from,WKT,cost_before,cost_remain,visit_number
4874618699,4874618648,"LINESTRING(8566382.68995113 5350801.202976304,8566403.922458988 5350802.952148529)",2768,19885,4593
259988482,259988484,"LINESTRING(8565641.250776764 5351114.893118344,8565448.459605422 5351096.817748771)",3441,19112,4164
2640232865,1709527340,"LINESTRING(8565472.240014222 5353183.880290501,8565506.212026794 5353187.379531048)",4891,17422,3228
2201604650,2201604836,"LINESTRING(8563681.065651406 5356751.45605965,8563561.314307094 5356931.154339886)",9955,13272,7135
2640232889,6769204683,"LINESTRING(8565390.707184052 5354091.977352551,8564976.248630682 5354574.348828679)",6337,15997,3287
2561533069,297162427,"LINESTRING(8564827.621075684 5357271.307019047,8564735.896641742 5357270.723556117)",9103,13799,5849
4881359150,4881359148,"LINESTRING(8566742.793284385 5350771.467098782,8566736.848182185 5350843.766260416)",2426,20042,3796
297162327,297162306,"LINESTRING(8564513.3799594 5355420.163301163,8564430.1485286 5355407.329679447)",7559,15004,4205
1669867402,299448286,"LINESTRING(8569795.178613905 5353845.843381899,8569808.767418936 5353852.842362212)",3173,19823,6264
2282060722,2282060707,"LINESTRING(8565805.16573742 5353844.093637644,8565799.22063522 5353884.337838774)",4822,17048,1820
2321236619,6467393284,"LINESTRING(8567406.94613015 5352112.591345467,8567289.74268678 5352106.759952167)",1868,19367,237
2187811813,2187811997,"LINESTRING(8568417.613504145 5350861.258077439,8568250.30134223 5350847.264621191)",852,20951,1570
297454573,297454574,"LINESTRING(8568378.545689687 5355212.494142658,8568443.941813888 5355341.99515248)",4440,17812,3046
1709527341,498715920,"LINESTRING(8565693.90739625 5353227.037682542,8565651.442380534 5353223.538427082)",4562,17480,2465
2931224932,2931224892,"LINESTRING(8569266.913818425 5353700.615728411,8569330.611341994 5353779.353331503)",2816,19522,3294
2200689003,2200689147,"LINESTRING(8564837.812679455 5353639.3758310955,8564836.963379141 5353645.2081849035)",5796,16658,3717
3914731537,299386903,"LINESTRING(8569833.397128047 5352532.4612661665,8569883.505846592 5352549.956257306)",1755,20775,4064
290056953,290056954,"LINESTRING(8564846.3056826 5351299.147275389,8564461.572640229 5351264.16202832)",4323,18455,5221
297454682,299446186,"LINESTRING(8569814.712521134 5353193.211601549,8569951.449871734 5353227.037682542)",2626,20353,6204
7735759639,7735759641,"LINESTRING(8566133.844959047 5352247.8806957975,8566129.598457476 5352294.532651942)",3219,18511,1315
260554352,260143796,"LINESTRING(8565258.216335025 5353218.872755182,8565208.956916796 5353214.790294188)",5029,17225,3057
2196723224,2196723583,"LINESTRING(8568811.68884997 5354833.33488513,8568876.235673856 5354963.413935198)",4173,18386,4193
2912715501,2912715503,"LINESTRING(8564346.917097801 5351992.465381124,8564340.122695288 5352071.188532158)",4967,17699,4662
4011643289,4011643279,"LINESTRING(8569094.505854625 5352182.568350087,8569149.710375054 5352242.049217723)",1071,20485,846
6484967343,2945087005,"LINESTRING(8565830.64474685 5351400.022140676,8565823.00104402 5351399.439045827)",2954,19065,2387
3709042936,2390045190,"LINESTRING(8568059.208771518 5351576.118456344,8567926.71792249 5351689.241688311)",746,20093,10
2641610447,5336442394,"LINESTRING(8566503.290595759 5351469.410688478,8566463.373480987 5351464.745895934)",2249,19378,1016
4527030076,7735759641,"LINESTRING(8566133.844959047 5352247.8806957975,8566169.515572246 5352252.545880888)",3208,18568,1451
5137406563,5137406564,"LINESTRING(8566148.28306439 5351991.299117224,8565964.834196506 5351976.720830826)",3108,18672,1472
5137409283,301727385,"LINESTRING(8566221.322891416 5351692.74036689,8566220.473591102 5351705.568866266)",2588,19041,1028
297451633,297451634,"LINESTRING(8565943.601688648 5352128.9192661485,8565751.659817621 5352110.841927094)",3463,18439,1959
1701248525,6117554842,"LINESTRING(8565535.08823748 5353960.743974947,8565482.431617994 5353966.576530202)",5260,16787,2489
2367002396,2367002390,"LINESTRING(8566457.428378787 5356811.549578674,8566474.414385073 5356821.467963804)",6977,15359,3291
2367002364,2367002370,"LINESTRING(8566456.579078473 5356789.379108982,8566467.61998256 5356779.460758071)",6992,15382,3436
4881620779,260542005,"LINESTRING(8567002.679180553 5350979.037167909,8566855.750226185 5350967.958873128)",2012,20010,2398
6769204786,6769204683,"LINESTRING(8565390.707184052 5354091.977352551,8564746.937545827 5353900.668868593)",6441,16398,5545
2318283626,2318283801,"LINESTRING(8568907.659785485 5353638.7925959155,8568818.483252484 5353687.784478452)",2651,19218,1818
2281409158,295850390,"LINESTRING(8566513.48219953 5354213.296965946,8566487.153889786 5354432.609512488)",4807,17072,1856
2365925884,2365925882,"LINESTRING(8566158.47466816 5353635.876420566,8566156.77606753 5353645.791420484)",4454,17458,2011
2200689597,4625105128,"LINESTRING(8564853.100085113 5353391.504173547,8564842.059181027 5353506.399156171)",5674,16774,3675
4144547324,4144547325,"LINESTRING(8564241.60385883 5351568.538082738,8564199.138843117 5351564.456345663)",4668,18063,4987
2641610436,5472928013,"LINESTRING(8566132.995658731 5351431.509316742,8566041.271224791 5351426.261446667)",2688,19166,1772
2368118507,2368118506,"LINESTRING(8565472.240014222 5353572.304025071,8565498.568323964 5353573.470487131)",5154,17108,3090
8155318154,2561533067,"LINESTRING(8564738.444542686 5356058.950027237,8564736.745942056 5356311.55998656)",8134,14505,4546
27519079,2931996373,"LINESTRING(8568031.181861147 5353900.668868593,8567896.99241149 5354325.285705499)",3227,18115,388
2195100029,7522806307,"LINESTRING(8568176.412214888 5356690.196075813,8568159.426208602 5356690.196075813)",6306,16722,6418
297454579,297454578,"LINESTRING(8568505.94073683 5355150.660963028,8568568.788960086 5355277.827760126)",4353,17948,3186
297186933,27519155,"LINESTRING(8563810.159299176 5358399.792825673,8563817.803002005 5358499.577632779)",10494,12279,5193
6562169910,6562169907,"LINESTRING(8565688.811594363 5354287.3727000365,8565648.894479591 5354418.027400816)",5450,16539,2301
4881359170,4881359169,"LINESTRING(8566720.711476214 5350890.411178861,8566721.560776528 5350882.831363706)",2308,20002,3215
6294518419,6294518421,"LINESTRING(8563038.994613811 5358801.272714244,8562986.337994326 5358791.93577578)",11293,11491,5252
260541678,1334574836,"LINESTRING(8567086.759911668 5355753.260312646,8566986.542474583 5355777.761789677)",5684,16447,2708
297454610,297454669,"LINESTRING(8569474.992395423 5354971.5803936375,8569383.26796148 5355018.246007951)",4080,18732,5408
6426035516,6426035528,"LINESTRING(8563788.92679132 5352428.075169285,8563688.709354235 5352554.621593831)",6070,16951,6387
2315734836,2315734738,"LINESTRING(8568388.73729346 5353091.150895498,8568273.232450718 5353099.898912153)",2064,19260,346
2187689324,295855297,"LINESTRING(8567643.900917836 5352590.1948617445,8567588.696397409 5352564.5354417125)",2125,19205,358
2186433309,295844195,"LINESTRING(8566421.757765587 5353194.961223413,8566412.41546213 5353299.939137242)",3880,17888,1435
2368118498,2368118497,"LINESTRING(8565473.93861485 5353548.39158505,8565501.116224907 5353549.558044114)",5132,17129,3082
2281409089,2281408268,"LINESTRING(8568051.56506869 5355988.943862229,8568062.605972776 5355976.692837519)",5591,17106,4822
2561336910,2561336908,"LINESTRING(8568706.375611 5356173.294563152,8568753.936428599 5356239.218327244)",5501,17468,6158
6512506882,6512506879,"LINESTRING(8563335.400423493 5358256.828155163,8563335.400423493 5358269.665709225)",10622,12112,5004
8634187343,8634145816,"LINESTRING(8562616.892357614 5359819.055217506,8562520.072121786 5359828.976810849)",12588,10421,6319
6562154189,6562154188,"LINESTRING(8566481.208787587 5351856.01349678,8566476.962286016 5351898.581604963)",2630,19035,1126
2195004006,2195004222,"LINESTRING(8569264.365917481 5355403.82960387,8569328.063441051 5355528.083093292)",4773,18362,6846
295850408,2931733890,"LINESTRING(8568402.326098487 5353494.151400111,8568418.462804459 5353604.381785022)",2530,18995,753
4625105125,4625105132,"LINESTRING(8564753.731948342 5353222.955217966,8564796.196964055 5353263.779944321)",5620,16947,4224
2629465436,2261287532,"LINESTRING(8564275.575871402 5353090.56769468,8563943.499448517 5353050.910124805)",6276,16657,6006
6556690796,292229663,"LINESTRING(8563647.94293915 5351444.33745605,8563433.91925995 5351424.512157299)",5376,17816,7034
2321236350,2321236557,"LINESTRING(8567935.210925633 5351754.55057199,8567993.812647318 5351787.788304835)",885,20060,56
259999331,297451645,"LINESTRING(8565687.112993734 5352766.313699532,8565496.869723337 5352748.818301636)",4308,17771,2589
5336774301,5339170986,"LINESTRING(8565175.83420454 5350945.219256731,8565152.05379574 5350943.47005777)",3843,19085,5990
